,Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
1,Al Franken,D,MN-SEN,115th,2018-01-02,Sexual harassment/groping/unwanted kissing,Minneapolis Star Tribune,Unwanted sexual contact,MN,2018
3,John Conyers,D,MI-13,115th,2017-12-05,Sexual harassment/inappropriate touching,Washington Post,Unwanted sexual contact,MI,2017
10,Xavier Becerra,D,CA-34,115th,2017-01-24,Appointed California attorney general,Los Angeles Times,Other office,CA,2017
13,Janice Hahn,D,CA-44,114th,2016-12-04,Elected to LA County Board of Supervisors,Los Angeles Times,Other office,CA,2016
15,Chaka Fattah,D,PA-02,114th,2016-06-23,Corruption conviction,POLITICO,Other scandals,PA,2016
21,Rob Andrews,D,NJ-01,113th,2014-02-18,Ethics investigation; took a job as a lobbyist,Philadelphia Inquirer,,NJ,2014
22,Max Baucus,D,MT-SEN,113th,2014-02-06,Appointed to Obama administration,The Missoulian,Other office,MT,2014
24,Mel Watt,D,NC-12,113th,2014-01-06,Appointed to Obama administration,Camel City Dispatch,Other office,NC,2014
27,Ed Markey,D,MA-05,113th,2013-07-15,Elected U.S. senator,Boston Globe,Other office,MA,2013
28,John Kerry,D,MA-SEN,113th,2013-02-01,Appointed to Obama administration,Boston Globe,Other office,MA,2013
32,Bob Filner,D,CA-51,112th,2012-12-03,Elected San Diego mayor,USA Today,Other office,CA,2012
33,Jesse Jackson Jr.,D,IL-02,112th,2012-11-21,Bipolar disorder; under criminal investigation,New York Times,,IL,2012
34,Dennis Cardoza,D,CA-18,112th,2012-08-15,"""Parenting challenges""; took a job with a law firm",POLITICO,,CA,2012
37,Jay Inslee,D,WA-01,112th,2012-03-20,To focus on his run for governor,Roll Call,Other office,WA,2012
38,Gabby Giffords,D,AZ-08,112th,2012-01-25,Recovery from gunshot injury,CNN,Health/family,AZ,2012
39,David Wu,D,OR-01,112th,2011-08-03,Sexual harassment/sex with teenage girl,The Oregonian,Unwanted sexual contact,OR,2011
