,Member,Party,Year,State,Reason,Resignation Date
0,Pat Tiberi,R,2018,OH,Took a job with the Ohio Business Roundtable,2018-01-15
1,Al Franken,D,2018,MN,Sexual harassment/groping/unwanted kissing,2018-01-02
2,Trent Franks,R,2017,AZ,Sexual harassment/surrogacy pressure,2017-12-08
3,John Conyers,D,2017,MI,Sexual harassment/inappropriate touching,2017-12-05
4,Tim Murphy,R,2017,PA,Extramarital affair/abortion hypocrisy,2017-10-21
5,Jason Chaffetz,R,2017,UT,Took a job with FOX News,2017-06-30
6,Ryan Zinke,R,2017,MT,Appointed to Trump administration,2017-03-01
7,Mick Mulvaney,R,2017,SC,Appointed to Trump administration,2017-02-16
8,Tom Price,R,2017,GA,Appointed to Trump administration,2017-02-10
9,Jeff Sessions,R,2017,AL,Appointed to Trump administration,2017-02-08
10,Xavier Becerra,D,2017,CA,Appointed California attorney general,2017-01-24
11,Mike Pompeo,R,2017,KS,Appointed to Trump administration,2017-01-23
12,Candice Miller,R,2016,MI,Elected Macomb County public works commish,2016-12-31
13,Janice Hahn,D,2016,CA,Elected to LA County Board of Supervisors,2016-12-04
14,Ed Whitfield,R,2016,KY,Ethics investigation,2016-09-06
15,Chaka Fattah,D,2016,PA,Corruption conviction,2016-06-23
16,John Boehner,R,2015,OH,Sick of fighting the Tea Party,2015-10-31
17,Aaron Schock,R,2015,IL,Personal spending of government funds,2015-03-31
18,Michael Grimm,R,2015,NY,Tax evasion,2015-01-05
20,Eric Cantor,R,2014,VA,Embarrassingly lost primary & majority leadership,2014-08-18
22,Max Baucus,D,2014,MT,Appointed to Obama administration,2014-02-06
23,Trey Radel,R,2014,FL,Cocaine possession,2014-01-27
24,Mel Watt,D,2014,NC,Appointed to Obama administration,2014-01-06
25,Rodney Alexander,R,2013,LA,Appointed Louisiana VA secretary,2013-09-27
26,Jo Bonner,R,2013,AL,Took a job with University of Alabama,2013-08-02
27,Ed Markey,D,2013,MA,Elected U.S. senator,2013-07-15
28,John Kerry,D,2013,MA,Appointed to Obama administration,2013-02-01
29,Jo Ann Emerson,R,2013,MO,Took a job with National Rural Electric Cooperative Association,2013-01-22
30,Tim Scott,R,2013,SC,Appointed U.S. senator,2013-01-02
31,Jim DeMint,R,2013,SC,Took a job with the Heritage Foundation,2013-01-01
32,Bob Filner,D,2012,CA,Elected San Diego mayor,2012-12-03
35,Geoff Davis,R,2012,KY,"""Family health issue""",2012-07-31
37,Jay Inslee,D,2012,WA,To focus on his run for governor,2012-03-20
38,Gabby Giffords,D,2012,AZ,Recovery from gunshot injury,2012-01-25
39,David Wu,D,2011,OR,Sexual harassment/sex with teenage girl,2011-08-03
40,Anthony Weiner,D,2011,NY,Extramarital affair/sexting,2011-06-21
41,Dean Heller,R,2011,NV,Appointed U.S. senator,2011-05-09
42,John Ensign,R,2011,NV,Ethics investigation into extramarital affair,2011-05-03
