Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Pat Tiberi,R,OH-12,115th,2018-01-15,Took a job with the Ohio Business Roundtable,New York Times,Private sector,OH,2018
Al Franken,D,MN-SEN,115th,2018-01-02,Sexual harassment/groping/unwanted kissing,Minneapolis Star Tribune,Unwanted sexual contact,MN,2018
Trent Franks,R,AZ-08,115th,2017-12-08,Sexual harassment/surrogacy pressure,CNN,Unwanted sexual contact,AZ,2017
John Conyers,D,MI-13,115th,2017-12-05,Sexual harassment/inappropriate touching,Washington Post,Unwanted sexual contact,MI,2017
Tim Murphy,R,PA-18,115th,2017-10-21,Extramarital affair/abortion hypocrisy,POLITICO,Consensual sex scandals,PA,2017
Jason Chaffetz,R,UT-03,115th,2017-06-30,Took a job with FOX News,POLITICO,Private sector,UT,2017
Ryan Zinke,R,MT-AL,115th,2017-03-01,Appointed to Trump administration,Bozeman Daily Chronicle,Other office,MT,2017
Mick Mulvaney,R,SC-05,115th,2017-02-16,Appointed to Trump administration,Associated Press,Other office,SC,2017
Tom Price,R,GA-06,115th,2017-02-10,Appointed to Trump administration,GeorgiaPol,Other office,GA,2017
Jeff Sessions,R,AL-SEN,115th,2017-02-08,Appointed to Trump administration,Washington Examiner,Other office,AL,2017
Xavier Becerra,D,CA-34,115th,2017-01-24,Appointed California attorney general,Los Angeles Times,Other office,CA,2017
Mike Pompeo,R,KS-04,115th,2017-01-23,Appointed to Trump administration,NBC News,Other office,KS,2017
Candice Miller,R,MI-10,114th,2016-12-31,Elected Macomb County public works commish,Detroit News,Other office,MI,2016
Janice Hahn,D,CA-44,114th,2016-12-04,Elected to LA County Board of Supervisors,Los Angeles Times,Other office,CA,2016
Ed Whitfield,R,KY-01,114th,2016-09-06,Ethics investigation,Kentucky Center for Investigative Reporting,Other scandals,KY,2016
Chaka Fattah,D,PA-02,114th,2016-06-23,Corruption conviction,POLITICO,Other scandals,PA,2016
John Boehner,R,OH-08,114th,2015-10-31,Sick of fighting the Tea Party,New York Times,Other,OH,2015
Aaron Schock,R,IL-18,114th,2015-03-31,Personal spending of government funds,POLITICO,Other scandals,IL,2015
Michael Grimm,R,NY-11,114th,2015-01-05,Tax evasion,CNN,Other scandals,NY,2015
Tom Coburn,R,OK-SEN,113th,2015-01-03,"Self-imposed term limits/""shifting my focus elsewhere""",The Oklahoman,,OK,2015
Eric Cantor,R,VA-07,113th,2014-08-18,Embarrassingly lost primary & majority leadership,USA Today,Other,VA,2014
Rob Andrews,D,NJ-01,113th,2014-02-18,Ethics investigation; took a job as a lobbyist,Philadelphia Inquirer,,NJ,2014
Max Baucus,D,MT-SEN,113th,2014-02-06,Appointed to Obama administration,The Missoulian,Other office,MT,2014
Trey Radel,R,FL-19,113th,2014-01-27,Cocaine possession,USA Today,Other scandals,FL,2014
Mel Watt,D,NC-12,113th,2014-01-06,Appointed to Obama administration,Camel City Dispatch,Other office,NC,2014
Rodney Alexander,R,LA-05,113th,2013-09-27,Appointed Louisiana VA secretary,Roll Call,Other office,LA,2013
Jo Bonner,R,AL-01,113th,2013-08-02,Took a job with University of Alabama,Roll Call,Private sector,AL,2013
Ed Markey,D,MA-05,113th,2013-07-15,Elected U.S. senator,Boston Globe,Other office,MA,2013
John Kerry,D,MA-SEN,113th,2013-02-01,Appointed to Obama administration,Boston Globe,Other office,MA,2013
Jo Ann Emerson,R,MO-08,113th,2013-01-22,Took a job with National Rural Electric Cooperative Association,Washington Post,Private sector,MO,2013
Tim Scott,R,SC-01,112th,2013-01-02,Appointed U.S. senator,U.S. House of Representatives,Other office,SC,2013
Jim DeMint,R,SC-SEN,112th,2013-01-01,Took a job with the Heritage Foundation,Washington Post,Private sector,SC,2013
Bob Filner,D,CA-51,112th,2012-12-03,Elected San Diego mayor,USA Today,Other office,CA,2012
Jesse Jackson Jr.,D,IL-02,112th,2012-11-21,Bipolar disorder; under criminal investigation,New York Times,,IL,2012
Dennis Cardoza,D,CA-18,112th,2012-08-15,"""Parenting challenges""; took a job with a law firm",POLITICO,,CA,2012
Geoff Davis,R,KY-04,112th,2012-07-31,"""Family health issue""",POLITICO,Health/family,KY,2012
Thad McCotter,R,MI-11,112th,2012-07-06,Bungled presidential campaign led to family concerns,Washington Post,,MI,2012
Jay Inslee,D,WA-01,112th,2012-03-20,To focus on his run for governor,Roll Call,Other office,WA,2012
Gabby Giffords,D,AZ-08,112th,2012-01-25,Recovery from gunshot injury,CNN,Health/family,AZ,2012
David Wu,D,OR-01,112th,2011-08-03,Sexual harassment/sex with teenage girl,The Oregonian,Unwanted sexual contact,OR,2011
Anthony Weiner,D,NY-09,112th,2011-06-21,Extramarital affair/sexting,New York Times,Consensual sex scandals,NY,2011
Dean Heller,R,NV-02,112th,2011-05-09,Appointed U.S. senator,Las Vegas Sun,Other office,NV,2011
John Ensign,R,NV-SEN,112th,2011-05-03,Ethics investigation into extramarital affair,Washington Post,Consensual sex scandals,NV,2011
Jane Harman,D,CA-36,112th,2011-02-28,Took a job with the Woodrow Wilson Center,Wilson Center,Private sector,CA,2011
Chris Lee,R,NY-26,112th,2011-02-09,Extramarital affair/shirtless photo,ABC News,Consensual sex scandals,NY,2011
Mark Kirk,R,IL-10,111th,2010-11-29,Elected U.S. senator,Associated Press,Other office,IL,2010
Mark Souder,R,IN-03,111th,2010-05-21,Extramarital affair,Washington Post,Consensual sex scandals,IN,2010
Nathan Deal,R,GA-09,111th,2010-03-21,To focus on his run for governor; ethics investigation,CREW,,GA,2010
Eric Massa,D,NY-29,111th,2010-03-08,Sexual harassment/groping (same-sex),The Week,Unwanted sexual contact,NY,2010
Neil Abercrombie,D,HI-01,111th,2010-02-28,To focus on his run for governor,NPR,Other office,HI,2010
Robert Wexler,D,FL-19,111th,2010-01-03,Took a job with Middle East think tank,Lexology,Private sector,FL,2010
John McHugh,R,NY-23,111th,2009-09-21,Appointed to Obama administration,New York Times,Other office,NY,2009
Mel Martinez,R, FL-SEN,111th,2009-09-09,"""To move on,"" spend time with family; later joined lobbying firm",New York Times,, F,2009
Ellen Tauscher,D,CA-10,111th,2009-06-26,Appointed to Obama administration,KNTV,Other office,CA,2009
Hilda Solis,D,CA-32,111th,2009-02-24,Appointed to Obama administration,Associated Press,Other office,CA,2009
Kirsten Gillibrand,D,NY-20,111th,2009-01-26,Appointed U.S. senator,New York Daily News,Other office,NY,2009
Hillary Clinton,D,NY-SEN,111th,2009-01-21,Appointed to Obama administration,CNN,Other office,NY,2009
Ken Salazar,D,CO-SEN,111th,2009-01-20,Appointed to Obama administration,Denver Post,Other office,CO,2009
Joe Biden,D,DE-SEN,111th,2009-01-15,Elected vice president,CNN,Other office,DE,2009
Rahm Emanuel,D,IL-05,110th,2009-01-02,Appointed to Obama administration,CNN,Other office,IL,2009
Tom Davis,R,VA-11,110th,2008-11-24,Took a job with Deloitte,Washington Post,Private sector,VA,2008
Barack Obama,D,IL-SEN,110th,2008-11-16,Elected president,CNN,Other office,IL,2008
Albert Wynn,D,MD-04,110th,2008-05-31,Took a job with a law firm after losing primary,Washington Post,,MD,2008
Richard Baker,R,LA-06,110th,2008-02-02,Took a job with the Managed Funds Association,New Orleans Times-Picayune,Private sector,LA,2008
Bobby Jindal,R,LA-01,110th,2008-01-14,Elected Louisiana governor,Reuters,Other office,LA,2008
Roger Wicker,R,MS-01,110th,2007-12-31,Appointed U.S. senator,The Guardian,Other office,MS,2007
Trent Lott,R,MS-SEN,110th,2007-12-18,"""Time left to do something else""; founded a lobbying firm",New York Times,Private sector,MS,2007
Dennis Hastert,R,IL-14,110th,2007-11-26,"No reason given, but had lost the speaker's gavel",FOX News,Other,IL,2007
Marty Meehan,D,MA-05,110th,2007-07-01,Took a job with University of Massachusetts,Associated Press,Private sector,MA,2007
Bob Ney,R,OH-18,109th,2006-11-03,Pleaded guilty to Abramoff influence-peddling scandal,Associated Press,Other scandals,OH,2006
Mark Foley,R,FL-16,109th,2006-09-29,Sexting with underage pages (same-sex),Washington Post,Unwanted sexual contact,FL,2006
Tom DeLay,R,TX-22,109th,2006-06-09,Campaign finance laundering & Abramoff scandal involvement,New York Times,Other scandals,TX,2006
